WARD,MTEA,Other,total_votes,per_MTEA,per_Other,sway
133,169,80,249,0.678714859437751,0.321285140562249,35.7429718875502
134,185,90,275,0.6727272727272727,0.32727272727272727,34.54545454545455
135,212,141,353,0.6005665722379604,0.39943342776203966,20.113314447592074
136,174,115,289,0.6020761245674741,0.39792387543252594,20.41522491349481
137,182,67,249,0.7309236947791165,0.26907630522088355,46.18473895582329
138,643,224,867,0.7416378316032295,0.25836216839677045,48.32756632064591
139,289,117,406,0.7118226600985221,0.2881773399014778,42.364532019704434
140,43,42,85,0.5058823529411764,0.49411764705882355,1.17647058823529
141,68,65,133,0.5112781954887218,0.48872180451127817,2.2556390977443606
142,67,41,108,0.6203703703703703,0.37962962962962965,24.07407407407407
143,27,41,68,0.39705882352941174,0.6029411764705882,-20.588235294117645
144,31,33,64,0.484375,0.515625,-3.125
145,14,11,25,0.56,0.44,12.000000000000005
146,15,10,25,0.6,0.4,19.999999999999996
147,35,43,78,0.44871794871794873,0.5512820512820513,-10.256410256410259
148,44,30,74,0.5945945945945946,0.40540540540540543,18.91891891891892
149,33,31,64,0.515625,0.484375,3.125
150,31,44,75,0.41333333333333333,0.5866666666666667,-17.333333333333336
151,29,22,51,0.5686274509803921,0.43137254901960786,13.725490196078427
152,22,15,37,0.5945945945945946,0.40540540540540543,18.91891891891892
153,74,54,128,0.578125,0.421875,15.625
154,51,47,98,0.5204081632653061,0.47959183673469385,4.081632653061229
155,13,17,30,0.43333333333333335,0.5666666666666667,-13.33333333333333
156,44,56,100,0.44,0.56,-12.000000000000005
157,122,80,202,0.6039603960396039,0.39603960396039606,20.79207920792079
158,44,33,77,0.5714285714285714,0.42857142857142855,14.285714285714285
159,37,47,84,0.44047619047619047,0.5595238095238095,-11.904761904761907
160,45,30,75,0.6,0.4,19.999999999999996
161,21,40,61,0.3442622950819672,0.6557377049180327,-31.147540983606554
162,49,56,105,0.4666666666666667,0.5333333333333333,-6.666666666666665
163,82,115,197,0.41624365482233505,0.583756345177665,-16.75126903553299
164,224,187,411,0.5450121654501217,0.45498783454987834,9.002433090024331
165,204,134,338,0.6035502958579881,0.39644970414201186,20.710059171597628
166,127,58,185,0.6864864864864865,0.31351351351351353,37.29729729729729
167,457,150,607,0.7528830313014827,0.2471169686985173,50.57660626029654
168,943,384,1327,0.7106254709871892,0.28937452901281085,42.12509419743783
169,24,21,45,0.5333333333333333,0.4666666666666667,6.666666666666665
170,20,21,41,0.4878048780487805,0.5121951219512195,-2.4390243902439046
171,10,5,15,0.6666666666666666,0.3333333333333333,33.33333333333333
172,25,42,67,0.373134328358209,0.6268656716417911,-25.37313432835821
173,42,65,107,0.3925233644859813,0.6074766355140186,-21.495327102803735
174,83,82,165,0.503030303030303,0.49696969696969695,0.60606060606061
175,59,66,125,0.472,0.528,-5.600000000000005
176,58,39,97,0.5979381443298969,0.4020618556701031,19.58762886597938
177,326,311,637,0.5117739403453689,0.48822605965463106,2.3547880690737877
178,236,189,425,0.5552941176470588,0.4447058823529412,11.058823529411764
179,290,201,491,0.5906313645621182,0.4093686354378819,18.12627291242363
180,215,160,375,0.5733333333333334,0.4266666666666667,14.666666666666666
181,385,275,660,0.5833333333333334,0.4166666666666667,16.666666666666668
182,262,180,442,0.5927601809954751,0.4072398190045249,18.552036199095024
183,346,225,571,0.6059544658493871,0.39404553415061294,21.190893169877413
184,233,206,439,0.530751708428246,0.46924829157175396,6.150341685649208
185,317,241,558,0.568100358422939,0.43189964157706096,13.62007168458781
186,656,454,1110,0.590990990990991,0.409009009009009,18.198198198198195
187,57,45,102,0.5588235294117647,0.4411764705882353,11.764705882352944
188,57,75,132,0.4318181818181818,0.5681818181818182,-13.63636363636364
189,73,75,148,0.49324324324324326,0.5067567567567568,-1.3513513513513542
190,69,88,157,0.4394904458598726,0.5605095541401274,-12.101910828025474
191,29,26,55,0.5272727272727272,0.4727272727272727,5.454545454545451
192,22,20,42,0.5238095238095238,0.47619047619047616,4.761904761904767
193,72,44,116,0.6206896551724138,0.3793103448275862,24.13793103448276
194,52,30,82,0.6341463414634146,0.36585365853658536,26.82926829268293
195,35,17,52,0.6730769230769231,0.3269230769230769,34.61538461538462
196,41,57,98,0.41836734693877553,0.5816326530612245,-16.326530612244895
197,34,31,65,0.5230769230769231,0.47692307692307695,4.615384615384616
198,86,47,133,0.6466165413533834,0.3533834586466165,29.32330827067669
199,96,60,156,0.6153846153846154,0.38461538461538464,23.076923076923077
200,37,37,74,0.5,0.5,0
201,23,31,54,0.42592592592592593,0.5740740740740741,-14.814814814814813
202,164,75,239,0.6861924686192469,0.3138075313807531,37.23849372384937
203,264,163,427,0.6182669789227166,0.38173302107728335,23.653395784543328
204,476,213,689,0.690856313497823,0.30914368650217705,38.17126269956459
205,155,141,296,0.5236486486486487,0.47635135135135137,4.729729729729732
206,167,133,300,0.5566666666666666,0.44333333333333336,11.333333333333329
207,91,99,190,0.4789473684210526,0.5210526315789473,-4.21052631578947
208,137,109,246,0.556910569105691,0.44308943089430897,11.382113821138207
209,126,129,255,0.49411764705882355,0.5058823529411764,-1.17647058823529
210,112,95,207,0.5410628019323671,0.45893719806763283,8.212560386473427
211,100,85,185,0.5405405405405406,0.4594594594594595,8.108108108108109
212,97,86,183,0.5300546448087432,0.46994535519125685,6.010928961748635
213,127,110,237,0.5358649789029536,0.4641350210970464,7.1729957805907185
214,64,63,127,0.5039370078740157,0.49606299212598426,0.7874015748031482
215,21,15,36,0.5833333333333334,0.4166666666666667,16.666666666666668
216,30,10,40,0.75,0.25,50
217,47,51,98,0.47959183673469385,0.5204081632653061,-4.081632653061229
218,66,48,114,0.5789473684210527,0.42105263157894735,15.789473684210531
219,38,33,71,0.5352112676056338,0.4647887323943662,7.0422535211267565
220,65,44,109,0.5963302752293578,0.4036697247706422,19.266055045871553
221,113,104,217,0.5207373271889401,0.4792626728110599,4.147465437788017
222,31,31,62,0.5,0.5,0
223,49,42,91,0.5384615384615384,0.46153846153846156,7.692307692307687
224,20,21,41,0.4878048780487805,0.5121951219512195,-2.4390243902439046
225,19,29,48,0.3958333333333333,0.6041666666666666,-20.833333333333332
226,23,18,41,0.5609756097560976,0.43902439024390244,12.195121951219518
227,66,54,120,0.55,0.45,10.000000000000004
