WARD,votes_jason_fields,votes_aycha_sawa,votes_alex_brower,votes_write_in,percent_jason_fields,percent_aycha_sawa,percent_alex_brower,percent_write_in
272,67,97,59,1,0.29910714285714285,0.4330357142857143,0.26339285714285715,0.004464285714285714
273,38,50,38,3,0.29457364341085274,0.3875968992248062,0.29457364341085274,0.023255813953488372
274,47,34,37,1,0.3949579831932773,0.2857142857142857,0.31092436974789917,0.008403361344537815
275,75,88,85,3,0.29880478087649404,0.350597609561753,0.3386454183266932,0.01195219123505976
276,115,161,96,4,0.3058510638297872,0.42819148936170215,0.2553191489361702,0.010638297872340425
277,96,94,82,1,0.3516483516483517,0.3443223443223443,0.30036630036630035,0.003663003663003663
278,54,36,46,1,0.39416058394160586,0.26277372262773724,0.3357664233576642,0.0072992700729927005
279,87,60,72,1,0.39545454545454545,0.2727272727272727,0.32727272727272727,0.004545454545454545
280,134,166,135,3,0.3059360730593607,0.3789954337899543,0.3082191780821918,0.00684931506849315
281,53,59,59,2,0.3063583815028902,0.34104046242774566,0.34104046242774566,0.011560693641618497
